Dock,SMILES_LIGANDS,SMILES_CD
0,CC(=O)/C(=C/c1ccccc1C#N)C(N)=O,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CCN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,Cc1ccc(NC(=O)C(C#N)=[N+]([O-])[O-])cc1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,N#CC(C(=O)Nc1cc(F)cc(F)c1)=[N+]([O-])[O-],[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CC(NNC(N)=O)=C1C(=O)N(C)C(=O)N(C)C1=O,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,NC(=O)[N+](=CC(=S)Nc1ccccc1Cl)C(N)=O,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,O=C(COC[C@H]1CCCCO1)NC(C1CC1)C1CC1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,Cc1c(CCO)sc[n+]1CCc1ccccc1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
1,CCC[C@H](O)CC/C=C/C=C/C#CC#C/C=C\CO,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,Oc1ccccc1/C=C/c1csnn1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
